review_text,sentiment,issue_type,keywords,severity,source
they gave it like 4,positive,no_issue,"gave, like",low,txt
"0 stars i guess, summary was something like ""Good little charger""",positive,no_issue,"charger, good, guess, like, little",low,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 01 26, 2014 (unix 1390694400)",negative,no_issue,"01, 1390694400, 2014, 26, review",medium,txt
this is a review by PWB Esq (id A5A4374R8I7NB) for product 6073894996,negative,no_issue,"6073894996, a5a4374r8i7nb, esq, id, product",medium,txt
"they basically said: I could only give this USB car charger 2 stars because although it worked fine for about 3 months, it subsequently died on me",negative,no_issue,"basically, car, charger, died, fine",medium,txt
"Pros:-Has 2 USB ports for charging, one (the top) is 2",negative,performance_issue,"charging, ports, pros, usb",high,txt
"The bottom slot is lower, presumably 1 or 1",negative,design_issue,"lower, presumably, slot",high,txt
-Fits well in my charging socket - holds tight,positive,performance_issue,"charging, fits, holds, socket, tight",low,txt
I've had some that were loose in my charging socket,negative,performance_issue,"charging, loose, socket, ve",high,txt
"-Works well to charge my iPhone in the top slot and the bottom slot works with most Android phones, except the very high end ones",positive,performance_issue,"android, charge, end, slot, works",low,txt
-Has a blue LED light to tell you it is on and ready to charge,positive,no_issue,"blue, charge, led, light, ready",low,txt
-The USB sockets seem to be well made and tightly fit all my cables,positive,performance_issue,"cables, fit, sockets, tightly, usb",low,txt
-It cost less than $2,negative,no_issue,cost,medium,txt
Cons:-It died on me after 3 months,negative,no_issue,"cons, died, months",medium,txt
I had really enjoyed using this USB charger,positive,no_issue,"charger, enjoyed, really, usb, using",low,txt
It rapidly charged my iPhone and worked well with charging the phones of my family and friends,positive,performance_issue,"charged, charging, family, friends, iphone",low,txt
"The two slot design makes this design very handy; with a 1 slot design, no one else can charge their device unless I remove my cord",positive,design_issue,"charge, cord, design, device, slot",low,txt
"Of course, after this charger died, I had to go back to the 1 slot design I was using before",negative,design_issue,"charger, course, design, died, slot",high,txt
"After 3 months, I began to notice the LED light flickering",positive,performance_issue,"began, flickering, led, light, months",low,txt
It was less than a week later that is quit working permanently,negative,no_issue,"later, permanently, quit, week, working",medium,txt
"I'm not sure what the problem was - faulty wiring, bad design, I guess I'll never know",negative,design_issue,"bad, design, faulty, guess, know",high,txt
"I thought about getting another since they are so cheap, but then I thought better of it",negative,no_issue,"better, cheap, getting, thought",medium,txt
Maybe they are so cheap because they are simply disposable after a short period of time,negative,no_issue,"cheap, disposable, maybe, period, short",medium,txt
"For whatever reason, it died and I was forced to look for another 2 slot design - I haven't found one in my price range yet",negative,design_issue,"design, died, forced, haven, look",high,txt
they gave it like 2,positive,no_issue,"gave, like",low,txt
"0 stars i guess, summary was something like ""Works Fine, But It Died On ME""",negative,no_issue,"died, fine, guess, like, stars",medium,txt
helpful votes?? 1 out of 1 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 06 25, 2012 (unix 1340582400)",negative,no_issue,"06, 1340582400, 2012, 25, review",medium,txt
this is a review by R,positive,no_issue,review,low,txt
Baker (id A1OWZHEQ5UCSAN) for product 6073894996,negative,no_issue,"6073894996, a1owzheq5ucsan, baker, id, product",medium,txt
"they basically said: This charger works great and is short, unlike most chargers",negative,no_issue,"basically, charger, chargers, great, said",medium,txt
It does a great job with charging both my phone and my GPS when I am in the car,positive,performance_issue,"car, charging, does, gps, great",low,txt
Great value and easy on the wallet,positive,no_issue,"easy, great, value, wallet",low,txt
they gave it like 5,positive,no_issue,"gave, like",low,txt
"0 stars i guess, summary was something like ""Great Dual Charger""",positive,no_issue,"charger, dual, great, guess, like",low,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 02 7, 2013 (unix 1360195200)",negative,no_issue,"02, 1360195200, 2013, review, unix",medium,txt
this is a review by Ronaldo (id A25TQLMIAPI1T6) for product 6073894996,negative,no_issue,"6073894996, a25tqlmiapi1t6, id, product, review",medium,txt
they basically said: I bought 2 of this and tried to test first,negative,no_issue,"basically, bought, said, test, tried",medium,txt
"after few minutes of charging, it felt hot",negative,performance_issue,"charging, felt, hot, minutes",high,txt
Pulled it out and the product smelled burnt,negative,performance_issue,"burnt, product, pulled, smelled",high,txt
Tried the other one too and same thing,negative,no_issue,"thing, tried",medium,txt
"this one could be fire hazard or could potentially destroy the electrical system

they gave it like 1",negative,design_issue,"destroy, electrical, gave, hazard, like",high,txt
"0 stars i guess, summary was something like ""Be careful""",negative,no_issue,"careful, guess, like, stars, summary",medium,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 06 22, 2014 (unix 1403395200)",negative,no_issue,"06, 1403395200, 2014, 22, review",medium,txt
"this is a review by ruthptb ""Ruth Root"" (id A382RYVVZOJ8PX) for product 6073894996",negative,no_issue,"6073894996, a382ryvvzoj8px, id, product, review",medium,txt
they basically said: This portable USB Port car charger is a must have for people on the go,negative,no_issue,"basically, car, charger, people, port",medium,txt
"Pair this with an extra or spare cord and you are good to go!

they gave it like 5",positive,no_issue,"cord, extra, gave, good, like",low,txt
"0 stars i guess, summary was something like ""A must have for people on the go""",positive,no_issue,"guess, like, people, stars, summary",low,txt
helpful votes?? 0 out of 1 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 04 5, 2013 (unix 1365120000)",negative,no_issue,"04, 1365120000, 2013, review, unix",medium,txt
this is a review by Ryan (id A3GTTANAYUVSDY) for product 6073894996,negative,no_issue,"6073894996, a3gttanayuvsdy, id, product, review",medium,txt
"they basically said: I love the way it can charge 2 devices at once!  Seems to charge quicker without GPS on, with it on, it only holds the battery, but better than it dying!!!

they gave it like 4",positive,performance_issue,"basically, battery, better, charge, devices",low,txt
"0 stars i guess, summary was something like ""Works best without location/GPS on device""",positive,no_issue,"best, device, gps, guess, like",low,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 05 23, 2014 (unix 1400803200)",negative,no_issue,"05, 1400803200, 2014, 23, review",medium,txt
this is a review by S,positive,no_issue,review,low,txt
"Coward ""MrsCoward"" (id A16EFGT2PLZT34) for product 6073894996",negative,no_issue,"6073894996, a16efgt2plzt34, coward, id, mrscoward",medium,txt
they basically said: Bought so we could charge to phones at the same time while in the car from the same port,negative,no_issue,"basically, bought, car, charge, phones",medium,txt
they gave it like 4,positive,no_issue,"gave, like",low,txt
"0 stars i guess, summary was something like ""Works""",positive,no_issue,"guess, like, stars, summary, works",low,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 09 4, 2013 (unix 1378252800)",negative,no_issue,"09, 1378252800, 2013, review, unix",medium,txt
this is a review by Tore (id A2Q7SZISE1RXQQ) for product 6073894996,negative,no_issue,"6073894996, a2q7szise1rxqq, id, product, review",medium,txt
they basically said: I received this product before I expected,negative,no_issue,"basically, expected, product, received, said",medium,txt
It looks pretty good and It works with my Iphone (3GS) and my phone (HTC Evo V 3D),positive,performance_issue,"3d, 3gs, evo, good, htc",low,txt
"It is a good deal because It is not easy to find something like this for this price

they gave it like 4",positive,no_issue,"deal, easy, gave, good, like",low,txt
"0 stars i guess, summary was something like ""Pretty good""",positive,no_issue,"good, guess, like, pretty, stars",low,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 10 18, 2012 (unix 1350518400)",negative,no_issue,"10, 1350518400, 18, 2012, review",medium,txt
this is a review by Voiceover Guy (id A8VI7KMUHI7ZH) for product 6073894996,negative,no_issue,"6073894996, a8vi7kmuhi7zh, guy, id, product",medium,txt
"they basically said: I have several of these, from various retailers, all the same, each made in some anonymous Chinese factory, all exactly alike",positive,no_issue,"alike, anonymous, basically, chinese, exactly",low,txt
"They really do work, and they do deliver 2",positive,no_issue,"deliver, really, work",low,txt
0 power as they say they will do,negative,no_issue,"power, say",medium,txt
"You wouldn't expect much QC for a $2 electrical product, but they each work just fine",positive,no_issue,"electrical, expect, fine, just, product",low,txt
"They don't last forever-- about a year or two of active daily use seems about par, then they suddenly die",negative,unexpected_behavior,"active, daily, die, don, forever",high,txt
So do have some replacements on hand,negative,no_issue,"hand, replacements",medium,txt
"At this price, no problem",positive,no_issue,"price, problem",low,txt
"Yes, they work with both my iPhone and iPad",positive,no_issue,"ipad, iphone, work, yes",low,txt
Also with every other USB device I've needed to charge,negative,performance_issue,"charge, device, needed, usb, ve",high,txt
The LED light that indicates you are plugged in correctly is very helpful,positive,performance_issue,"correctly, helpful, indicates, led, light",low,txt
These are great for rental cars and travel,positive,no_issue,"cars, great, rental, travel",low,txt
"If you leave one behind, hey, it's only $2",negative,no_issue,"hey, leave",medium,txt
I'm totally pleased with these clever little gems,positive,no_issue,"clever, gems, little, pleased, totally",low,txt
"I wouldn't be without a couple, especially for travel",positive,no_issue,"couple, especially, travel, wouldn",low,txt
they gave it like 5,positive,no_issue,"gave, like",low,txt
"0 stars i guess, summary was something like ""Great DC Charger, Works Great, $2 Value""",positive,no_issue,"charger, dc, great, guess, like",low,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 06 15, 2014 (unix 1402790400)",negative,no_issue,"06, 1402790400, 15, 2014, review",medium,txt
this is a review by Wei (id A3HWOEJ6BK7B7M) for product 6073894996,negative,no_issue,"6073894996, a3hwoej6bk7b7m, id, product, review",medium,txt
they basically said: good product at low price,positive,no_issue,"basically, good, low, price, product",low,txt
purchased this looking for a smaller charger and I love Griffin products,positive,performance_issue,"charger, griffin, looking, love, products",low,txt
"Free shipping just took a little longer

they gave it like 5",negative,no_issue,"free, gave, just, like, little",medium,txt
"0 stars i guess, summary was something like ""good product at low price""",positive,no_issue,"good, guess, like, low, price",low,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 05 7, 2014 (unix 1399420800)",negative,no_issue,"05, 1399420800, 2014, review, unix",medium,txt
this is a review by Levi Bowen (id A30A04FS5YAES3) for product 6073894996,negative,no_issue,"6073894996, a30a04fs5yaes3, bowen, id, levi",medium,txt
they basically said: Didn't last very long,negative,no_issue,"basically, didn, long, said",medium,txt
Worked great when it worked but it is a cheap piece of plastic crap so I shouldn't have expected it to last,negative,no_issue,"cheap, crap, expected, great, worked",medium,txt
they gave it like 2,positive,no_issue,"gave, like",low,txt
"0 stars i guess, summary was something like ""Works for a while",negative,no_issue,"guess, like, stars, summary, works",medium,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 08 23, 2013 (unix 1377216000)",negative,no_issue,"08, 1377216000, 2013, 23, review",medium,txt
this is a review by Yeoman Johnson (id A347LTN4RU2FL1) for product 6073894996,negative,no_issue,"6073894996, a347ltn4ru2fl1, id, johnson, product",medium,txt
they basically said: I use this in my car to charge my phone and my iPod as needed,negative,no_issue,"basically, car, charge, ipod, needed",medium,txt
"It works well, but the bright blue light can be annoying when driving at night",negative,no_issue,"annoying, blue, bright, driving, light",medium,txt
"Overall, a very good deal",positive,no_issue,"deal, good, overall",low,txt
they gave it like 4,positive,no_issue,"gave, like",low,txt
"0 stars i guess, summary was something like ""Works as advertised""",negative,no_issue,"advertised, guess, like, stars, summary",medium,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 01 29, 2013 (unix 1359417600)",negative,no_issue,"01, 1359417600, 2013, 29, review",medium,txt
this is a review by Allana (id A2G38P52ZF5TTH) for product 7532385086,negative,no_issue,"7532385086, a2g38p52zf5tth, allana, id, product",medium,txt
they basically said: I love this case! It's so pretty,positive,no_issue,"basically, case, love, pretty, said",low,txt
And I love the way the case feels to the touch because of the rubber,positive,no_issue,"case, feels, love, rubber, touch",low,txt
"Very happy!

they gave it like 5",positive,no_issue,"gave, happy, like",low,txt
"0 stars i guess, summary was something like ""I recommend""",positive,no_issue,"guess, like, recommend, stars, summary",low,txt
helpful votes?? 3 out of 3 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 02 2, 2011 (unix 1296604800)",negative,no_issue,"02, 1296604800, 2011, review, unix",medium,txt
this is a review by Brittany (id A3Q6C95EFP4FEX) for product 7532385086,negative,no_issue,"7532385086, a3q6c95efp4fex, brittany, id, product",medium,txt
they basically said: The idea of the design is a sweet idea but it wears off as the paint is over the case and not under a sealant or anything,negative,design_issue,"basically, case, design, idea, paint",high,txt
It has a cool 3D effect but at the cost of the paint rubbing off,negative,design_issue,"3d, cool, cost, effect, paint",high,txt
It is quite pretty though,positive,design_issue,"pretty, quite",low,txt
they gave it like 3,positive,no_issue,"gave, like",low,txt
"0 stars i guess, summary was something like ""Nice""",positive,no_issue,"guess, like, nice, stars, summary",low,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 02 2, 2012 (unix 1328140800)",negative,no_issue,"02, 1328140800, 2012, review, unix",medium,txt
this is a review by C,positive,no_issue,review,low,txt
"Groves ""~The Connie"" (id A2GHDKZBYXGAPY) for product 7532385086",negative,no_issue,"7532385086, a2ghdkzbyxgapy, connie, groves, id",medium,txt
they basically said: I was worried about this order because the picture on the description page kept changing to a less-desireable green/orange cover,negative,design_issue,"basically, changing, cover, description, desireable",high,txt
"But alas, it came a day earlier than expected, and the beautiful pink product expected!  The ""rubberized"" cover feels a little greasy (like it was armor-all'd), but the design is gorgeous and a little 3D looking!

they gave it like 5",positive,design_issue,"expected, like, little, looking, pink",low,txt
"0 stars i guess, summary was something like ""Perfect!""",positive,no_issue,"guess, like, perfect, stars, summary",low,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 07 18, 2012 (unix 1342569600)",negative,no_issue,"07, 1342569600, 18, 2012, review",medium,txt
this is a review by Grandma in NH (id A2Y33PMFKII0VR) for product 7532385086,negative,no_issue,"7532385086, a2y33pmfkii0vr, grandma, id, nh",medium,txt
they basically said: Another pretty phone case that I really love,positive,no_issue,"basically, case, love, phone, pretty",low,txt
I have many as I love t o change them around,positive,no_issue,"change, love",low,txt
"thanks

they gave it like 5",positive,no_issue,"gave, like, thanks",low,txt
"0 stars i guess, summary was something like ""Pretty""",positive,no_issue,"guess, like, pretty, stars, summary",low,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 02 15, 2013 (unix 1360886400)",negative,no_issue,"02, 1360886400, 15, 2013, review",medium,txt
this is a review by Krystal (id A3S8BPAUQQLDKU) for product 7532385086,negative,no_issue,"7532385086, a3s8bpauqqldku, id, krystal, product",medium,txt
"they basically said: The case is not white, its more of a silver",negative,design_issue,"basically, case, said, silver, white",high,txt
It's still a very pretty case- it fit my phone perfectly,positive,no_issue,"case, fit, perfectly, phone, pretty",low,txt
It took too long to arrive,negative,performance_issue,"arrive, long, took",high,txt
they gave it like 4,positive,no_issue,"gave, like",low,txt
"0 stars i guess, summary was something like ""Not what I expected",negative,no_issue,"expected, guess, like, stars, summary",medium,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 12 8, 2012 (unix 1354924800)",negative,no_issue,"12, 1354924800, 2012, review, unix",medium,txt
this is a review by Lisa Hall (id AKUQOY3DJX96J) for product 7532385086,negative,no_issue,"7532385086, akuqoy3djx96j, hall, id, lisa",medium,txt
they basically said: Defintiely worth the price,positive,no_issue,"basically, defintiely, price, said, worth",low,txt
Most cases are $15 and up especially at the cell phone stores,negative,performance_issue,"15, cases, cell, especially, phone",high,txt
"I can't believe the mark up on these things!

they gave it like 4",positive,no_issue,"believe, gave, like, mark, things",low,txt
"0 stars i guess, summary was something like ""Worth the price""",positive,no_issue,"guess, like, price, stars, summary",low,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 12 28, 2012 (unix 1356652800)",negative,no_issue,"12, 1356652800, 2012, 28, review",medium,txt
this is a review by Mayra (id A2Y937AV46ULWQ) for product 6073894996,negative,no_issue,"6073894996, a2y937av46ulwq, id, mayra, product",medium,txt
"they basically said: excellent product, works great , have easy handling, and good quality as it is announced",positive,no_issue,"announced, basically, easy, excellent, good",low,txt
"reached as is shown time and in very good condition thank you very much for everything

they gave it like 4",positive,no_issue,"condition, gave, good, like, reached",low,txt
