review_text,sentiment,issue_type,keywords,severity,source,chunk_id
Absolutely love the case !!,positive,no_issue,"absolutely, case, love",low,csv,csv_12_0
"It's very  sturdily built,and provides lots of boost",positive,durability_issue,"boost, built, lots, provides, sturdily",low,csv,csv_12_2
It does exactly what it's supposed too,positive,performance_issue,"does, exactly, supposed",low,csv,csv_12_3
Easy to insert phone in and out,negative,usability_issue,"easy, insert, phone",high,csv,csv_12_4
Definitely a 5 star experience,positive,unexpected_behavior,"definitely, experience, star",low,csv,csv_12_5
Don't know what I would do without this case LOVE LOVE LOVE it,positive,design_issue,"case, don, know, love",low,csv,csv_12_6
Best Rechargeable Battery Case on the Market!!!!!!!!!! A++++++++,positive,performance_issue,"battery, best, case, market, rechargeable",low,csv,csv_13_0
"Unlike Most of the Rechargeable Battery cases, PowerBear Lasts up to 2 whole days",negative,performance_issue,"battery, cases, days, lasts, powerbear",high,csv,csv_13_1
"It doesn't heat up like most of the other ones, and I was completely fascinated by the ultra light and sleek design for the case",positive,performance_issue,"case, completely, design, doesn, fascinated",low,csv,csv_13_2
"Before I was using the Mophie case but I couldn't wear it often because it was like having a hot brick in your pocket, Hence I had to always leave it at home",negative,design_issue,"brick, case, couldn, having, home",high,csv,csv_13_3
"On the contrary, with PowerBear, I never take it off because I can't even tell the difference",negative,performance_issue,"contrary, difference, powerbear, tell",high,csv,csv_13_4
"Also it is build in a super STRONG manner and even though I dropped my phone a few times, its shock resistant technology won't let a single thing happen to the case or the phone",positive,durability_issue,"build, case, dropped, happen, phone",low,csv,csv_13_5
"The PowerBear case became an extension to my phone that I never have to take off because when I charge it at night, it charges both my phone and the case, and I have battery life for more than two days",negative,performance_issue,"battery, case, charge, charges, phone",high,csv,csv_13_6
"I was also shocked to hear all the positive compliments I was hearing from people at my job, fitness center, and throughout the community",positive,no_issue,"center, community, compliments, fitness, hear",low,csv,csv_13_7
"Everybody was loving the case, and what they don't know is that it cost  me 60 % CHEAPER then all the other brand",positive,no_issue,"60, brand, case, cheaper, cost",low,csv,csv_13_8
"This is the best purchase I've made on the internet, and I am going to buy more for my family in time for the Holidays",positive,no_issue,"best, buy, family, going, holidays",low,csv,csv_13_9
"I needed a phone case for myself and my two sons, but I also needed new replacement batteries",negative,durability_issue,"batteries, case, needed, new, phone",high,csv,csv_14_2
"Now this isn't the case, since I got both in one",negative,usability_issue,"case, got, isn",high,csv,csv_14_3
"When there is no outlets, or chargers near by its Powerbear to the rescue! Ordered one for my husband, and myself",negative,performance_issue,"chargers, husband, near, ordered, outlets",high,csv,csv_15_1
"Doesn't heat up like crazy like the other ones I got, and cheaper too! Its definetly the best power case for the S4 you can get, thats why I got one for me and my wife",positive,performance_issue,"best, case, cheaper, got, like",low,csv,csv_16_2
I wonder why its called power bear,negative,performance_issue,"bear, called, power, wonder",high,csv,csv_16_3
Works like the Expensive Version,positive,performance_issue,"expensive, like, version, works",low,csv,csv_17_1
"Surprisingly, this inexpensive version works just as well and just as reliably as the expensive variety",positive,no_issue,"expensive, inexpensive, just, reliably, surprisingly",low,csv,csv_17_2
It has been working for me for months now,negative,no_issue,"months, working",medium,csv,csv_17_3
I have tested this against the griffin dual output unit,negative,performance_issue,"dual, griffin, output, tested, unit",high,csv,csv_18_1
I checked the charging current,negative,performance_issue,"charging, checked, current",high,csv,csv_18_2
This unit was charging my galaxy note battery with 70 ma,negative,performance_issue,"70, battery, charging, galaxy, ma",high,csv,csv_18_3
Griffin was charging with 40 ma! And the griffin was 4 times more expensive,negative,performance_issue,"40, charging, expensive, griffin, ma",high,csv,csv_18_4
I have not used these for very long,negative,durability_issue,"long, used",high,csv,csv_18_5
"I bought 15 of them, because they are so cheap and because they actually do seem to provide high current",negative,performance_issue,"15, actually, bought, cheap, current",high,csv,csv_18_6
No idea how long they last,negative,unexpected_behavior,"idea, long",high,csv,csv_18_7
I assume they will work fine,positive,no_issue,"assume, fine, work",low,csv,csv_18_8
I have not been using them much,negative,no_issue,using,medium,csv,csv_18_9
"I did the testing , just to stock up on a high current charger",negative,performance_issue,"charger, current, did, high, just",high,csv,csv_18_10
This passed and I stocked up,positive,no_issue,"passed, stocked",low,csv,csv_18_11
It worked great for the first couple of weeks then it just stopped completely,negative,no_issue,"completely, couple, great, just, stopped",medium,csv,csv_19_1
so basically a small waste of money,negative,usability_issue,"basically, money, small, waste",high,csv,csv_19_3
I love that it has two ports for my phone and ipod,positive,usability_issue,"ipod, love, phone, ports",low,csv,csv_20_1
Who wants to be putting too many things in one socket,negative,usability_issue,"putting, socket, things, wants",high,csv,csv_20_2
Sleek and convenient to store and I just love it,positive,design_issue,"convenient, just, love, sleek, store",low,csv,csv_20_3
"just what you need, I am always having to charge my phone and then find I have another item to charge also",negative,performance_issue,"charge, having, item, just, need",high,csv,csv_21_1
"does not have the need amps to charge things like ipads, or hp touchpads",negative,performance_issue,"amps, charge, does, hp, ipads",high,csv,csv_22_1
but its super small and compact,positive,usability_issue,"compact, small, super",low,csv,csv_22_2
I like the fact they light up,positive,no_issue,"fact, light, like",low,csv,csv_23_0
"They are nothing special for sure, but it's nice that you can tell when it is powered up by the led that glows in it",positive,usability_issue,"glows, led, nice, powered, special",low,csv,csv_23_2
able to charge two phones at once in the car which is nice,positive,performance_issue,"able, car, charge, nice, phones",low,csv,csv_23_3
Have more than one vehicle so I keep more than one of these in each,negative,usability_issue,vehicle,high,csv,csv_24_2
"Nothing more frustrating than finding all of a sudden one quits working, and you have no way to recharge your phone",negative,unexpected_behavior,"finding, frustrating, phone, quits, recharge",high,csv,csv_24_3
That is always when you need it most,positive,unexpected_behavior,need,low,csv,csv_24_4
This one works well for any of my products,positive,no_issue,"products, works",low,csv,csv_24_5
I bought this a little skeptical,negative,no_issue,"bought, little, skeptical",medium,csv,csv_25_1
After I tried it I bought two more,negative,no_issue,"bought, tried",medium,csv,csv_25_2
It works great and so far it has lasted for about 3 months,positive,no_issue,"far, great, lasted, months, works",low,csv,csv_25_3
If that changes I will update this review,negative,no_issue,"changes, review, update",medium,csv,csv_25_4
This doesn't work with my iPad,negative,no_issue,"doesn, ipad, work",medium,csv,csv_26_0
I am disappointed that the 1A didn't work with my iPad,negative,no_issue,"1a, didn, disappointed, ipad, work",medium,csv,csv_26_2
That's what I get for buying a cheap adapter,negative,performance_issue,"adapter, buying, cheap",high,csv,csv_26_3
Solid Charger but RF noisy,negative,performance_issue,"charger, noisy, rf, solid",high,csv,csv_27_0
This is a nice charger but you can tell it was made cheaply in China,negative,performance_issue,"charger, cheaply, china, nice, tell",high,csv,csv_27_1
"When it is charging the phone, the car radio gets LOTS of static",negative,performance_issue,"car, charging, gets, lots, phone",high,csv,csv_27_2
Not so much that I have to stop charging but like when you are near power lines and the radio station is far away,negative,performance_issue,"away, charging, far, like, lines",high,csv,csv_27_3
"I gave it 4 stars because it works fine for me, but if you listen to the radio, you might consider it is more like 2 or 3 stars",positive,no_issue,"consider, fine, gave, like, stars",low,csv,csv_27_5
After a week only one side works,negative,unexpected_behavior,"week, works",high,csv,csv_28_1
Yo get exactly what you order in a timely fashion,positive,no_issue,"exactly, fashion, order, timely, yo",low,csv,csv_29_1
And the item is just as described,positive,usability_issue,"described, item, just",low,csv,csv_29_2
Great buy if you ask me,positive,no_issue,"ask, buy, great",low,csv,csv_29_3
USB slots in a blue light that never quits,positive,unexpected_behavior,"blue, light, quits, slots, usb",low,csv,csv_30_0
This is a terribly awesome product in my Subaru's console,positive,usability_issue,"awesome, console, product, subaru, terribly",low,csv,csv_30_1
"Passengers love it, I love it because it emits a blue glow, because it has held up to abuse over the years and performs like new",positive,no_issue,"abuse, blue, emits, glow, love",low,csv,csv_30_2
I've bough a munch of different things like this over the years,positive,design_issue,"bough, different, like, munch, things",low,csv,csv_31_1
"Most wouldn't stay in the jack, or would give out after a few days",negative,usability_issue,"days, jack, stay, wouldn",high,csv,csv_31_2
"don't waste your money, pay more and buy one at Walgreen s",negative,no_issue,"buy, don, money, pay, walgreen",medium,csv,csv_32_0
Only works one side at a time,negative,unexpected_behavior,"time, works",high,csv,csv_32_2
"When you connect two cables, one side stop working and also overheated burning the fuses",negative,unexpected_behavior,"burning, cables, connect, fuses, overheated",high,csv,csv_32_3
I purchased two of them and it's the same problem,negative,unexpected_behavior,"problem, purchased",high,csv,csv_32_4
it works great i like i can charge two thing at the same now i dont have to wait for my to finish charging her phone,positive,no_issue,"charge, charging, dont, finish, great",low,csv,csv_33_1
"this is a review by Jude Chukwuma Benyeogor ""jcb"" (id A2I7NEVKSJ5UWR) for product 6073894996",negative,no_issue,"6073894996, a2i7nevksj5uwr, benyeogor, chukwuma, id",medium,txt,review_1.txt_3
"they basically said: It came at last, good looking and the price was good and i believe it is worth the time I waited for it to come to me good job

they gave it like 4",positive,design_issue,"basically, believe, came, come, good",low,txt,review_1.txt_4
"0 stars i guess, summary was something like ""good job""",positive,usability_issue,"good, guess, job, like, stars",low,txt,review_1.txt_5
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_1.txt_6
"review was around 03 27, 2014 (unix 1395878400)",negative,no_issue,"03, 1395878400, 2014, 27, review",medium,txt,review_1.txt_7
this is a review by pissed off (id A2B8HBZPIFYRV1) for product 6073894996,negative,no_issue,"6073894996, a2b8hbzpifyrv1, id, pissed, product",medium,txt,review_10.txt_3
"they basically said: works great and charges ipads, tablets, smartphones as well as bluetooth speakers and headsets",positive,no_issue,"basically, bluetooth, charges, great, headsets",low,txt,review_10.txt_4
I would recommend it to anyone looking for a universal car charger,positive,performance_issue,"car, charger, looking, recommend, universal",low,txt,review_10.txt_5
they gave it like 4,positive,no_issue,"gave, like",low,txt,review_10.txt_6
"0 stars i guess, summary was something like ""Good little charger""",positive,usability_issue,"charger, good, guess, like, little",low,txt,review_10.txt_7
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_10.txt_8
"review was around 01 26, 2014 (unix 1390694400)",negative,no_issue,"01, 1390694400, 2014, 26, review",medium,txt,review_10.txt_9
this is a review by PWB Esq (id A5A4374R8I7NB) for product 6073894996,negative,no_issue,"6073894996, a5a4374r8i7nb, esq, id, product",medium,txt,review_11.txt_3
"they basically said: I could only give this USB car charger 2 stars because although it worked fine for about 3 months, it subsequently died on me",negative,performance_issue,"basically, car, charger, died, fine",high,txt,review_11.txt_4
"Pros:-Has 2 USB ports for charging, one (the top) is 2",negative,performance_issue,"charging, ports, pros, usb",high,txt,review_11.txt_5
"The bottom slot is lower, presumably 1 or 1",negative,performance_issue,"lower, presumably, slot",high,txt,review_11.txt_7
-Fits well in my charging socket - holds tight,positive,no_issue,"charging, fits, holds, socket, tight",low,txt,review_11.txt_9
I've had some that were loose in my charging socket,negative,unexpected_behavior,"charging, loose, socket, ve",high,txt,review_11.txt_10
"-Works well to charge my iPhone in the top slot and the bottom slot works with most Android phones, except the very high end ones",positive,performance_issue,"android, charge, end, slot, works",low,txt,review_11.txt_11
-Has a blue LED light to tell you it is on and ready to charge,positive,usability_issue,"blue, charge, led, light, ready",low,txt,review_11.txt_12
-The USB sockets seem to be well made and tightly fit all my cables,positive,design_issue,"cables, fit, sockets, tightly, usb",low,txt,review_11.txt_13
-It cost less than $2,negative,usability_issue,cost,high,txt,review_11.txt_15
Cons:-It died on me after 3 months,negative,no_issue,"cons, died, months",medium,txt,review_11.txt_16
I had really enjoyed using this USB charger,positive,no_issue,"charger, enjoyed, really, usb, using",low,txt,review_11.txt_17
It rapidly charged my iPhone and worked well with charging the phones of my family and friends,positive,performance_issue,"charged, charging, family, friends, iphone",low,txt,review_11.txt_18
"The two slot design makes this design very handy; with a 1 slot design, no one else can charge their device unless I remove my cord",positive,performance_issue,"charge, cord, design, device, slot",low,txt,review_11.txt_19
"Of course, after this charger died, I had to go back to the 1 slot design I was using before",negative,performance_issue,"charger, course, design, died, slot",high,txt,review_11.txt_20
"After 3 months, I began to notice the LED light flickering",positive,performance_issue,"began, flickering, led, light, months",low,txt,review_11.txt_21
It was less than a week later that is quit working permanently,negative,unexpected_behavior,"later, permanently, quit, week, working",high,txt,review_11.txt_22
"I'm not sure what the problem was - faulty wiring, bad design, I guess I'll never know",negative,unexpected_behavior,"bad, design, faulty, guess, know",high,txt,review_11.txt_23
"I thought about getting another since they are so cheap, but then I thought better of it",negative,design_issue,"better, cheap, getting, thought",high,txt,review_11.txt_24
Maybe they are so cheap because they are simply disposable after a short period of time,negative,durability_issue,"cheap, disposable, maybe, period, short",high,txt,review_11.txt_25
"For whatever reason, it died and I was forced to look for another 2 slot design - I haven't found one in my price range yet",negative,performance_issue,"design, died, forced, haven, look",high,txt,review_11.txt_26
they gave it like 2,positive,no_issue,"gave, like",low,txt,review_11.txt_27
"0 stars i guess, summary was something like ""Works Fine, But It Died On ME""",negative,unexpected_behavior,"died, fine, guess, like, stars",high,txt,review_11.txt_28
helpful votes?? 1 out of 1 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_11.txt_29
"review was around 06 25, 2012 (unix 1340582400)",negative,no_issue,"06, 1340582400, 2012, 25, review",medium,txt,review_11.txt_30
this is a review by R,positive,no_issue,review,low,txt,review_12.txt_3
Baker (id A1OWZHEQ5UCSAN) for product 6073894996,negative,no_issue,"6073894996, a1owzheq5ucsan, baker, id, product",medium,txt,review_12.txt_4
"they basically said: This charger works great and is short, unlike most chargers",negative,performance_issue,"basically, charger, chargers, great, said",high,txt,review_12.txt_5
It does a great job with charging both my phone and my GPS when I am in the car,positive,performance_issue,"car, charging, does, gps, great",low,txt,review_12.txt_6
Great value and easy on the wallet,positive,no_issue,"easy, great, value, wallet",low,txt,review_12.txt_7
they gave it like 5,positive,unexpected_behavior,"gave, like",low,txt,review_12.txt_8
"0 stars i guess, summary was something like ""Great Dual Charger""",positive,usability_issue,"charger, dual, great, guess, like",low,txt,review_12.txt_9
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_12.txt_10
"review was around 02 7, 2013 (unix 1360195200)",negative,no_issue,"02, 1360195200, 2013, review, unix",medium,txt,review_12.txt_11
this is a review by Ronaldo (id A25TQLMIAPI1T6) for product 6073894996,negative,no_issue,"6073894996, a25tqlmiapi1t6, id, product, review",medium,txt,review_13.txt_3
they basically said: I bought 2 of this and tried to test first,negative,performance_issue,"basically, bought, said, test, tried",high,txt,review_13.txt_4
"after few minutes of charging, it felt hot",negative,performance_issue,"charging, felt, hot, minutes",high,txt,review_13.txt_7
Pulled it out and the product smelled burnt,negative,performance_issue,"burnt, product, pulled, smelled",high,txt,review_13.txt_8
Tried the other one too and same thing,negative,unexpected_behavior,"thing, tried",high,txt,review_13.txt_9
"this one could be fire hazard or could potentially destroy the electrical system

they gave it like 1",negative,unexpected_behavior,"destroy, electrical, gave, hazard, like",high,txt,review_13.txt_13
"0 stars i guess, summary was something like ""Be careful""",negative,unexpected_behavior,"careful, guess, like, stars, summary",high,txt,review_13.txt_14
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_13.txt_15
"review was around 06 22, 2014 (unix 1403395200)",negative,no_issue,"06, 1403395200, 2014, 22, review",medium,txt,review_13.txt_16
"this is a review by ruthptb ""Ruth Root"" (id A382RYVVZOJ8PX) for product 6073894996",negative,no_issue,"6073894996, a382ryvvzoj8px, id, product, review",medium,txt,review_14.txt_3
they basically said: This portable USB Port car charger is a must have for people on the go,negative,usability_issue,"basically, car, charger, people, port",high,txt,review_14.txt_4
"Pair this with an extra or spare cord and you are good to go!

they gave it like 5",positive,no_issue,"cord, extra, gave, good, like",low,txt,review_14.txt_5
"0 stars i guess, summary was something like ""A must have for people on the go""",positive,usability_issue,"guess, like, people, stars, summary",low,txt,review_14.txt_6
helpful votes?? 0 out of 1 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_14.txt_7
"review was around 04 5, 2013 (unix 1365120000)",negative,no_issue,"04, 1365120000, 2013, review, unix",medium,txt,review_14.txt_8
this is a review by Ryan (id A3GTTANAYUVSDY) for product 6073894996,negative,no_issue,"6073894996, a3gttanayuvsdy, id, product, review",medium,txt,review_15.txt_3
"they basically said: I love the way it can charge 2 devices at once!  Seems to charge quicker without GPS on, with it on, it only holds the battery, but better than it dying!!!

they gave it like 4",positive,performance_issue,"basically, battery, better, charge, devices",low,txt,review_15.txt_4
"0 stars i guess, summary was something like ""Works best without location/GPS on device""",positive,usability_issue,"best, device, gps, guess, like",low,txt,review_15.txt_5
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_15.txt_6
"review was around 05 23, 2014 (unix 1400803200)",negative,no_issue,"05, 1400803200, 2014, 23, review",medium,txt,review_15.txt_7
this is a review by S,positive,no_issue,review,low,txt,review_16.txt_3
"Coward ""MrsCoward"" (id A16EFGT2PLZT34) for product 6073894996",negative,no_issue,"6073894996, a16efgt2plzt34, coward, id, mrscoward",medium,txt,review_16.txt_4
they basically said: Bought so we could charge to phones at the same time while in the car from the same port,negative,usability_issue,"basically, bought, car, charge, phones",high,txt,review_16.txt_5
they gave it like 4,positive,no_issue,"gave, like",low,txt,review_16.txt_7
"0 stars i guess, summary was something like ""Works""",positive,usability_issue,"guess, like, stars, summary, works",low,txt,review_16.txt_8
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_16.txt_9
"review was around 09 4, 2013 (unix 1378252800)",negative,no_issue,"09, 1378252800, 2013, review, unix",medium,txt,review_16.txt_10
this is a review by Tore (id A2Q7SZISE1RXQQ) for product 6073894996,negative,no_issue,"6073894996, a2q7szise1rxqq, id, product, review",medium,txt,review_17.txt_3
they basically said: I received this product before I expected,negative,no_issue,"basically, expected, product, received, said",medium,txt,review_17.txt_4
It looks pretty good and It works with my Iphone (3GS) and my phone (HTC Evo V 3D),positive,no_issue,"3d, 3gs, evo, good, htc",low,txt,review_17.txt_5
"It is a good deal because It is not easy to find something like this for this price

they gave it like 4",positive,no_issue,"deal, easy, gave, good, like",low,txt,review_17.txt_6
"0 stars i guess, summary was something like ""Pretty good""",positive,usability_issue,"good, guess, like, pretty, stars",low,txt,review_17.txt_7
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_17.txt_8
"review was around 10 18, 2012 (unix 1350518400)",negative,no_issue,"10, 1350518400, 18, 2012, review",medium,txt,review_17.txt_9
this is a review by Voiceover Guy (id A8VI7KMUHI7ZH) for product 6073894996,negative,no_issue,"6073894996, a8vi7kmuhi7zh, guy, id, product",medium,txt,review_18.txt_3
"they basically said: I have several of these, from various retailers, all the same, each made in some anonymous Chinese factory, all exactly alike",positive,unexpected_behavior,"alike, anonymous, basically, chinese, exactly",low,txt,review_18.txt_4
"They really do work, and they do deliver 2",positive,no_issue,"deliver, really, work",low,txt,review_18.txt_6
0 power as they say they will do,negative,unexpected_behavior,"power, say",high,txt,review_18.txt_8
"You wouldn't expect much QC for a $2 electrical product, but they each work just fine",positive,performance_issue,"electrical, expect, fine, just, product",low,txt,review_18.txt_10
"They don't last forever-- about a year or two of active daily use seems about par, then they suddenly die",negative,unexpected_behavior,"active, daily, die, don, forever",high,txt,review_18.txt_11
So do have some replacements on hand,negative,durability_issue,"hand, replacements",high,txt,review_18.txt_12
"At this price, no problem",positive,no_issue,"price, problem",low,txt,review_18.txt_13
"Yes, they work with both my iPhone and iPad",positive,no_issue,"ipad, iphone, work, yes",low,txt,review_18.txt_14
Also with every other USB device I've needed to charge,negative,performance_issue,"charge, device, needed, usb, ve",high,txt,review_18.txt_15
The LED light that indicates you are plugged in correctly is very helpful,positive,performance_issue,"correctly, helpful, indicates, led, light",low,txt,review_18.txt_16
These are great for rental cars and travel,positive,performance_issue,"cars, great, rental, travel",low,txt,review_18.txt_17
"If you leave one behind, hey, it's only $2",negative,performance_issue,"hey, leave",high,txt,review_18.txt_18
I'm totally pleased with these clever little gems,positive,no_issue,"clever, gems, little, pleased, totally",low,txt,review_18.txt_19
"I wouldn't be without a couple, especially for travel",positive,usability_issue,"couple, especially, travel, wouldn",low,txt,review_18.txt_21
they gave it like 5,positive,unexpected_behavior,"gave, like",low,txt,review_18.txt_24
"0 stars i guess, summary was something like ""Great DC Charger, Works Great, $2 Value""",positive,performance_issue,"charger, dc, great, guess, like",low,txt,review_18.txt_25
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_18.txt_26
"review was around 06 15, 2014 (unix 1402790400)",negative,no_issue,"06, 1402790400, 15, 2014, review",medium,txt,review_18.txt_27
this is a review by Wei (id A3HWOEJ6BK7B7M) for product 6073894996,negative,no_issue,"6073894996, a3hwoej6bk7b7m, id, product, review",medium,txt,review_19.txt_3
they basically said: good product at low price,positive,no_issue,"basically, good, low, price, product",low,txt,review_19.txt_4
purchased this looking for a smaller charger and I love Griffin products,positive,performance_issue,"charger, griffin, looking, love, products",low,txt,review_19.txt_5
"Free shipping just took a little longer

they gave it like 5",negative,no_issue,"free, gave, just, like, little",medium,txt,review_19.txt_6
"0 stars i guess, summary was something like ""good product at low price""",positive,usability_issue,"good, guess, like, low, price",low,txt,review_19.txt_7
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_19.txt_8
"review was around 05 7, 2014 (unix 1399420800)",negative,no_issue,"05, 1399420800, 2014, review, unix",medium,txt,review_19.txt_9
this is a review by Levi Bowen (id A30A04FS5YAES3) for product 6073894996,negative,no_issue,"6073894996, a30a04fs5yaes3, bowen, id, levi",medium,txt,review_2.txt_3
they basically said: Didn't last very long,negative,no_issue,"basically, didn, long, said",medium,txt,review_2.txt_4
Worked great when it worked but it is a cheap piece of plastic crap so I shouldn't have expected it to last,negative,no_issue,"cheap, crap, expected, great, worked",medium,txt,review_2.txt_5
they gave it like 2,positive,no_issue,"gave, like",low,txt,review_2.txt_6
"0 stars i guess, summary was something like ""Works for a while",negative,unexpected_behavior,"guess, like, stars, summary, works",high,txt,review_2.txt_7
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_2.txt_9
"review was around 08 23, 2013 (unix 1377216000)",negative,no_issue,"08, 1377216000, 2013, 23, review",medium,txt,review_2.txt_10
this is a review by Yeoman Johnson (id A347LTN4RU2FL1) for product 6073894996,negative,no_issue,"6073894996, a347ltn4ru2fl1, id, johnson, product",medium,txt,review_20.txt_3
they basically said: I use this in my car to charge my phone and my iPod as needed,negative,usability_issue,"basically, car, charge, ipod, needed",high,txt,review_20.txt_4
"It works well, but the bright blue light can be annoying when driving at night",negative,no_issue,"annoying, blue, bright, driving, light",medium,txt,review_20.txt_5
"Overall, a very good deal",positive,no_issue,"deal, good, overall",low,txt,review_20.txt_6
they gave it like 4,positive,no_issue,"gave, like",low,txt,review_20.txt_7
"0 stars i guess, summary was something like ""Works as advertised""",negative,usability_issue,"advertised, guess, like, stars, summary",high,txt,review_20.txt_8
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_20.txt_9
"review was around 01 29, 2013 (unix 1359417600)",negative,no_issue,"01, 1359417600, 2013, 29, review",medium,txt,review_20.txt_10
this is a review by Allana (id A2G38P52ZF5TTH) for product 7532385086,negative,no_issue,"7532385086, a2g38p52zf5tth, allana, id, product",medium,txt,review_21.txt_3
they basically said: I love this case! It's so pretty,positive,design_issue,"basically, case, love, pretty, said",low,txt,review_21.txt_4
And I love the way the case feels to the touch because of the rubber,positive,no_issue,"case, feels, love, rubber, touch",low,txt,review_21.txt_5
"Very happy!

they gave it like 5",positive,no_issue,"gave, happy, like",low,txt,review_21.txt_6
"0 stars i guess, summary was something like ""I recommend""",positive,usability_issue,"guess, like, recommend, stars, summary",low,txt,review_21.txt_7
helpful votes?? 3 out of 3 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_21.txt_8
"review was around 02 2, 2011 (unix 1296604800)",negative,no_issue,"02, 1296604800, 2011, review, unix",medium,txt,review_21.txt_9
this is a review by Brittany (id A3Q6C95EFP4FEX) for product 7532385086,negative,no_issue,"7532385086, a3q6c95efp4fex, brittany, id, product",medium,txt,review_22.txt_3
